animals	SK1	SK2	SK3	SK4	SK5	SK6	SK7	SK8	SK9	SK10	SK11	SK12	SK13	SK14	SK15	SK16	SK17	SK18	SK19	SK20	SK21	SK22	SK23	SK24
roe deer	1							1		1				1			1				1			
roe deer								1																1
wild boar	1												1					1					1	
roe deer					1					1				1				1				1		
red fox					1							1												
roe deer					1															1				
wild boar								1		1								1				1		
roe deer	1		1							1								1			1			
deer					1						1				1				1				1	
roe deer								1		1					1				1				1	
wild boar	1							1											1					
roe deer	1							1											1					
roe deer					1						1				1				1					
wild boar	1	1																		1				
wild boar	1							1					1				1					1		
wild boar	1										1			1				1					1	
wild boar	1																	1				1		
roe deer								1		1				1				1				1		
roe deer																								
duck								1		1				1										
wild boar					1															1				
roe deer																								
wild boar																								
beaver	1											1			1					1				1
roe deer			1									1				1				1				1
roe deer					1																			
roe deer																								
roe deer					1							1			1				1					1
roe deer					1							1				1				1				1
wild boar					1															1	1			
roe deer									1				1				1				1			
wild boar	1											1				1				1				1
roe deer					1														1					
roe deer	1								1												1			
roe deer					1																			1
marten					1							1												
roe deer								1		1					1			1						1
red fox					1							1												
hedgehog	1								1															
roe deer					1			1								1			1					
squirrel					1																			1
roe deer								1				1				1				1				1
wild boar	1	1																		1				
wild boar				1								1		1						1				1
squirrel	1		1													1			1					
hedgehog					1					1				1				1						1
wild boar	1										1				1				1				1	
buzzard								1					1							1				
squirrel					1					1					1			1						
roe deer	1										1				1				1					
red fox	1									1				1				1				1		
roe deer	1									1				1					1				1	
roe deer	1																							
roe deer	1																	1						1
roe deer	1	1	1																			1		
roe deer					1			1		1				1				1				1		
hedgehog					1			1											1					
wild boar	1																		1			1		
wild boar	1									1				1				1				1		
red fox	1							1		1				1				1					1	
swan	1			1					1				1				1					1		
roe deer					1						1				1			1						1
hedgehog																								
marten	1										1				1				1					
squirrel	1									1				1				1					1	
deer																								
squirrel	1															1				1				
marten	1									1				1				1						1
duck			1	1								1				1				1				
red fox					1																			1
hedgehog	1			1				1							1				1					
red fox					1							1												1
hedgehog	1		1																	1				
squirrel																								
wild boar		1								1				1				1				1		
bat								1				1												
marten					1							1				1								
ermine				1																				1
squirrel	1							1	1								1				1			
squirrel					1					1				1				1					1	
squirrel	1											1												
squirrel	1		1	1							1				1				1					1
hedgehog																								
roe deer	1		1									1												
squirrel	1		1	1							1													
squirrel					1							1				1				1				
hare	1				1					1				1									1	
swan				1					1				1				1				1			
squirrel	1		1					1			1				1					1				
marten												1				1				1				
roe deer					1																			
hedgehog	1														1									
roe deer	1							1																1
swan	1		1																					1
roe deer	1							1																1
squirrel																								
hedgehog					1			1												1				
red fox	1							1																
marten																								
squirrel				1				1																1
squirrel			1		1			1		1				1				1						1
wild boar					1											1				1				
squirrel	1		1																1					
squirrel					1			1				1				1								
wild boar	1																							
duck	1														1									
squirrel	1		1																					
hedgehog	1											1				1								
wild boar	1											1			1									
duck																								
hedgehog	1													1										
red fox								1												1				
wild boar	1																							
hedgehog																								
squirrel	1		1								1				1				1				1	
squirrel					1							1				1				1				1
squirrel				1																				
roe deer					1											1								
squirrel					1						1				1				1				1	
hedgehog							1								1				1					
squirrel					1															1				
squirrel			1								1			1					1					1
squirrel				1																				
squirrel	1			1						1				1				1				1		
hedgehog					1											1				1				
squirrel	1							1						1						1				
swan	1		1	1				1			1			1					1					1
hedgehog					1	1	1					1			1					1				1
squirrel			1																	1				
red fox			1																					
wild boar							1																	
swan	1			1																				1
red fox	1																			1				
bat					1															1				
hedgehog	1											1		1						1				
squirrel	1		1	1					1				1				1						1	
squirrel	1				1						1			1					1					1
hedgehog	1				1		1													1				
hedgehog								1				1		1					1					
wild boar	1																							1
squirrel	1										1				1				1					
squirrel	1																			1				
roe deer					1													1				1		
squirrel					1									1										
squirrel					1													1						
squirrel			1											1										1
hedgehog					1						1				1				1					
wild boar					1										1									
roe deer					1		1			1					1				1					1
hedgehog					1							1		1										
squirrel	1		1				1																	
roe deer	1		1					1			1				1				1					
squirrel	1		1		1																			
roe deer	1																							1
duck																								
squirrel	1							1			1				1				1				1	
squirrel								1												1				
red fox					1							1												
swan	1		1	1					1				1				1							
squirrel					1						1													
squirrel	1									1								1				1		
bat								1		1			1				1							
ermine					1																			1
roe deer					1							1				1								1
hedgehog	1													1										
hare					1							1				1								
marten																								
ermine					1																			1
wild boar																								1
squirrel	1									1				1										
squirrel	1											1			1					1				1
red fox	1															1								
duck	1							1													1			
hedgehog					1							1								1				
duck				1								1												
squirrel	1		1						1				1				1				1			
red fox	1				1							1								1				
red fox	1															1								
red fox	1				1														1					
squirrel																								
red fox	1									1			1				1					1		
swan				1					1				1				1							
hedgehog	1														1				1					
red fox					1															1				
bat								1		1			1				1							
hedgehog	1																			1				
hedgehog					1										1					1				
red fox					1						1					1				1				
squirrel	1		1	1																				
hedgehog	1				1															1				
squirrel	1		1							1			1					1						1
squirrel			1											1				1						
squirrel			1										1					1						
squirrel	1				1			1		1						1		1						1
red fox	1															1								
squirrel			1																					
squirrel	1								1				1				1				1			
deer	1							1												1				1
squirrel																								
