ID	YEAR	1a	1b	1c	1d	1e	1f	1g	2a	2b	2c	2d	3a	3b	3c	3d	3e	3f	3g	3h
133	2020	1	-1	-1	1	0	0	0	1	-1	1	1	1	-1	-1	-1	1	0	-1	1
134	2020	1	-1	-1	1	1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0
135	2020	-1	-1	-1	1	-1	0	-1	0	0	0	0	1	-1	1	1	1	-1	-1	-1
136	2020	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1
137	2020	-1	-1	-1	1	1	1	1	1	0	0	1	-1	-1	1	1	1	0	1	1
138	2020	1	0	1	1	-1	0	-1	-1	0	0	1	-1	0	1	0	1	-1	-1	1
139	2020	1	0	0	1	-1	-1	-1	-1	NA	NA	1	1	0	1	0	1	0	0	0
140	2020	-1	NA	NA	NA	NA	NA	NA	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1
141	2020	1	-1	-1	1	0	1	-1	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	1
142	2020	1	-1	-1	1	0	0	1	-1	1	0	1	-1	-1	1	1	1	-1	-1	0
143	2020	1	-1	-1	1	NA	NA	NA	-1	-1	0	1	1	-1	0	-1	0	-1	-1	-1
144	2020	0	-1	-1	-1	0	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1
145	2020	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	-1	0	-1	-1	-1
146	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	1
147	2020	1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	1
148	2020	1	-1	-1	1	1	1	1	-1	0	1	1	1	0	0	0	0	0	0	0
149	2020	0	-1	-1	0	1	1	NA	-1	-1	0	1	1	-1	1	-1	1	1	-1	1
150	2020	NA	-1	1	1	1	1	-1	-1	-1	0	1	-1	-1	0	0	0	-1	-1	-1
151	2020	-1	-1	0	0	1	1	1	-1	-1	-1	1	1	-1	1	0	1	1	-1	1
152	2020	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	0	1	0	0
153	2020	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1
154	2020	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0
155	2020	-1	-1	-1	0	1	1	1	NA	NA	NA	1	0	0	1	0	0	0	1	0
156	2020	1	NA	NA	1	NA	NA	NA	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1
157	2020	1	-1	-1	1	-1	1	-1	NA	NA	NA	1	0	0	1	0	1	0	0	1
158	2020	NA	NA	NA	1	NA	NA	NA	-1	0	1	1	1	-1	0	-1	0	0	-1	1
159	2020	1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	-1	1	-1	1	-1	-1	-1
160	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	-1
161	2020	1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	-1	0	-1	1	-1	-1	1
162	2020	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	-1	1	-1	-1	1
163	2020	1	-1	-1	1	0	1	0	-1	1	1	1	-1	-1	1	-1	1	-1	1	-1
164	2020	1	-1	-1	1	NA	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1
165	2020	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	0	-1	0	-1	0	-1
166	2020	1	0	0	-1	-1	0	-1	NA	NA	NA	-1	0	0	-1	0	0	0	0	0
167	2020	-1	NA	NA	NA	NA	NA	NA	-1	-1	-1	1	1	-1	1	-1	1	0	-1	1
168	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
169	2020	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	1	-1
170	2020	1	-1	-1	1	NA	1	-1	-1	1	1	1	-1	-1	1	1	1	0	-1	-1
171	2020	-1	-1	-1	1	0	1	-1	NA	NA	NA	1	0	0	0	0	0	0	0	0
172	2020	1	NA	NA	NA	NA	NA	NA	-1	-1	-1	1	1	-1	0	-1	0	0	-1	0
173	2020	-1	-1	-1	0	1	0	1	-1	-1	-1	1	0	0	0	0	0	0	0	0
174	2020	0	0	0	0	0	0	0	-1	0	0	1	1	-1	1	-1	1	-1	-1	-1
175	2020	-1	-1	-1	-1	1	1	1	-1	-1	0	1	0	-1	0	-1	1	0	-1	1
176	2020	-1	-1	-1	0	1	0	1	-1	-1	-1	1	1	-1	-1	-1	1	0	0	0
177	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
178	2020	-1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1
179	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	1	1	0	0	0	0	0	0	0
180	2020	NA	NA	NA	NA	NA	1	NA	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
181	2020	-1	-1	-1	1	1	1	0	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1
182	2020	-1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	-1
183	2020	1	1	1	-1	-1	-1	-1	-1	1	1	1	0	1	0	1	1	-1	1	0
184	2020	0	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	0
185	2020	1	0	0	1	1	1	0	0	-1	NA	NA	1	0	0	1	1	0	0	0
186	2020	1	0	0	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	-1
187	2020	1	-1	-1	1	0	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	0	0
188	2020	1	1	1	1	1	-1	1	-1	-1	0	1	-1	-1	1	1	0	-1	0	0
189	2020	-1	-1	-1	-1	1	1	1	-1	0	1	1	1	-1	1	-1	1	-1	-1	-1
190	2020	-1	-1	-1	1	1	1	0	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
191	2020	1	-1	-1	1	1	1	-1	NA	NA	NA	1	0	1	0	0	0	0	0	0
192	2020	NA	NA	NA	1	NA	NA	NA	-1	-1	-1	1	0	-1	0	-1	1	1	-1	0
193	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	0
194	2020	-1	-1	-1	1	1	-1	1	NA	-1	NA	1	0	0	1	0	0	1	-1	1
195	2020	0	-1	1	1	NA	NA	NA	NA	NA	NA	-1	0	-1	1	-1	0	0	0	0
196	2020	-1	1	NA	1	-1	-1	-1	0	0	0	1	-1	0	0	0	1	0	-1	1
197	2020	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	-1
198	2020	-1	1	1	1	1	-1	-1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
199	2020	NA	NA	NA	NA	NA	NA	NA	-1	NA	-1	1	-1	1	-1	1	1	0	-1	0
200	2020	0	NA	-1	1	1	1	-1	-1	NA	NA	1	0	0	1	1	0	0	0	0
201	2020	1	NA	NA	1	NA	1	NA	-1	-1	-1	1	-1	-1	1	-1	1	0	-1	0
202	2020	1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	0
203	2020	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1
204	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	1	0	0	1	0	0	0	0	1
205	2020	NA	NA	NA	NA	1	NA	NA	-1	1	-1	1	1	-1	0	-1	1	-1	1	0
206	2020	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	0	1	0	-1	-1
207	2020	1	0	0	1	1	1	-1	NA	NA	NA	1	1	0	0	0	0	0	0	0
208	2020	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	-1	1	0	-1	-1
209	2020	-1	-1	-1	-1	1	1	1	-1	-1	0	1	0	-1	0	0	0	0	0	0
210	2020	0	0	0	0	1	1	0	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
211	2020	1	-1	-1	1	1	1	0	1	-1	1	1	0	0	0	-1	0	0	0	0
212	2020	-1	-1	-1	1	1	1	1	-1	0	0	1	1	-1	0	1	1	0	1	0
213	2020	0	1	0	1	0	0	0	-1	-1	-1	1	1	-1	1	0	1	-1	-1	-1
214	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1
215	2020	-1	-1	-1	-1	0	0	1	-1	-1	-1	1	-1	-1	1	1	0	-1	-1	1
216	2020	-1	-1	-1	1	1	1	1	NA	NA	NA	1	0	0	1	0	0	0	0	0
217	2020	-1	-1	-1	1	1	1	1	NA	NA	NA	1	1	-1	1	-1	0	-1	-1	0
218	2020	-1	-1	-1	0	1	1	1	NA	NA	NA	1	1	0	0	0	0	0	0	0
219	2020	NA	NA	NA	NA	NA	1	NA	-1	-1	-1	1	-1	-1	1	-1	1	0	-1	0
220	2020	-1	-1	-1	-1	0	1	1	-1	-1	-1	1	1	-1	1	-1	1	0	-1	0
221	2020	1	-1	-1	1	1	0	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
222	2020	-1	-1	-1	1	-1	1	0	-1	-1	-1	1	-1	-1	1	-1	0	0	-1	1
223	2020	0	-1	-1	1	-1	1	0	NA	NA	NA	1	1	0	0	0	0	0	0	0
224	2020	NA	NA	NA	1	NA	NA	NA	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1
225	2020	1	0	0	1	1	1	-1	-1	0	0	1	1	-1	1	-1	1	0	-1	1
226	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	0
227	2020	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	0	1	-1	-1	0
228	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	0	-1	1	-1	-1	-1
229	2020	-1	-1	-1	0	1	1	1	-1	0	0	1	1	-1	-1	-1	1	-1	-1	-1
230	2020	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	-1	1	-1	1	-1	0	-1
231	2020	1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	0	1	-1	-1	1
232	2020	1	-1	-1	1	0	-1	0	-1	-1	-1	1	1	-1	1	-1	0	-1	-1	0
233	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	0	0	0
234	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
235	2020	-1	-1	-1	0	1	1	0	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	1
236	2020	-1	-1	-1	1	0	1	0	-1	1	1	1	0	-1	1	0	1	-1	0	1
237	2020	1	-1	NA	1	-1	1	1	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	1
238	2020	-1	-1	-1	1	0	-1	1	-1	-1	-1	1	1	-1	0	0	1	-1	0	1
239	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	-1
240	2020	-1	-1	-1	1	1	1	1	NA	NA	NA	1	1	0	0	0	0	0	0	0
241	2020	NA	NA	NA	NA	1	NA	1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1
242	2020	-1	-1	-1	-1	1	1	1	-1	0	-1	1	1	-1	-1	-1	1	1	-1	0
243	2020	-1	-1	-1	0	1	0	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1
244	2020	1	-1	-1	1	1	1	-1	-1	1	1	1	0	1	1	1	1	-1	1	-1
245	2020	1	0	1	1	1	1	-1	-1	0	0	1	1	-1	-1	-1	0	0	-1	0
246	2020	1	-1	-1	1	0	1	0	-1	-1	-1	1	0	-1	0	-1	1	0	-1	-1
247	2020	-1	-1	-1	1	0	1	1	-1	-1	-1	1	1	-1	0	-1	1	-1	1	0
248	2020	-1	0	0	1	1	0	-1	-1	-1	-1	1	1	0	1	-1	-1	0	-1	1
249	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	0	-1	1	-1	1	-1	-1	-1
250	2020	1	-1	-1	1	0	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1
251	2020	-1	-1	-1	1	0	1	0	1	0	0	0	0	-1	1	-1	1	1	-1	1
252	2020	-1	-1	-1	1	0	0	0	-1	1	0	1	1	-1	1	0	0	-1	-1	-1
253	2020	1	0	-1	1	0	1	1	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	-1
254	2020	-1	-1	-1	1	1	1	-1	1	0	-1	1	1	-1	1	-1	1	-1	-1	0
255	2020	-1	-1	-1	1	0	1	1	NA	NA	NA	1	0	0	1	0	0	0	0	0
256	2020	NA	NA	NA	1	NA	NA	NA	-1	-1	-1	1	-1	-1	1	0	1	0	0	1
257	2020	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	0	0	0	0	0	0	0
258	2020	0	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
259	2020	-1	-1	-1	1	1	1	1	NA	NA	NA	1	1	-1	-1	-1	0	0	-1	0
